,ad_video_id
0,lM01TQKLYF0
1,cqX9yekkwVs
2,T-jqJzRz_Ic
3,TjTOG8bm4KM
4,3DSRKTHSfWU
5,NsWt1CUg6Jg
6,ttOwcQaEzX0
7,4vW9a2tgiS8
8,ybG-qZttyjY
9,FkjGcvNBCuo
10,bmEmgo8ssL8
11,IO-kDXScZCQ
12,EJagv5vBZ2w
13,Oq1cYjTmelk
14,s-hK8stBxo4
15,K00EqVb4W-I
16,AxgN3Nn0Hg0
17,2vB0QVTvz54
18,IYy690eJYXg
19,QbhIUDODqVU
20,ic0D1pzrIdM
21,dqbESjSy4qM
22,XQEdLrYweZE
23,h9YijRr8Kew
24,HUorJQebtGA
25,j55oJ8NHXlw
26,kB4ZaJQwpTE
27,zuA8Dbj3VYA
28,HBDaHjQW0lI
29,bW-SSb6bz6M
30,f8CI0b99ieQ
31,zpifMjj-5WI
32,ULLhYIdpdZw
33,sd84bsRWSLY
34,hyQCo1jHU30
35,dRje7cZhls4
36,FkdBbpzFpqo
37,tLIS4p1jZ40
38,wS6lHja5R_w
39,1tEvevI6_S4
40,7vxYn55D51o
41,7G53XSJiPgs
42,KvXKP9gMKDM
43,t7mKUNGAltw
44,y0fgcGu858k
45,pKnpOH5aemo
46,eIs8tFHpySg
47,0cQnXmxrWec
48,WT5vpyIx9lM
49,8Nblc9sBW1o
50,7N-gertdkEk
51,QowjhxuLU4k
52,5ZBPvLNYn2o
53,HXBGDPHu6Eo
54,AmdCJ3IkrT0
55,naWkoM1gvFg
56,RBNWrSdbe_Y
57,9Ucj75HtaPA
58,Lk6Lgm02x20
59,cuJjngO6uxk
60,hN5eHa-Zh3o
61,q5w1oeoUFB0
62,ZUNB8lBBzJ8
63,Vh_4s8rY66c
64,Q8BZukNVTM8
65,yPFTHg8U4aQ
66,QWutIikXnQs
67,KAb1PCLnvP8
68,o3cH4GixdoQ
69,LPMlI93QdXE
70,XRoe0NeGwO0
71,zAAuHsY5baw
72,SdHJDvp82WE
73,c7qiydT_yFY
74,2N4TGOoRpUQ
75,g0RYO5yUgXw
76,ggg57-VBjfY
77,ec1-rs1qFE4
78,EXZunOo_tEA
79,jLrvv2RPPd0
80,-fTqAtIdy4g
81,LfCDmK96RfA
82,8AaYqSXBLFM
83,ih7ycFOEye8
84,g9_UzA4Tr4E
85,UpxUMf4i9CU
86,EkcgQ4XCf2w
87,y5fzgkuEvjg
88,NBaDHrGg-mo
89,szKD0YhOyPs
90,S-SO10EmrjM
91,zo6SQ7kR3s4
92,Qf0IyyBcG-c
93,-LaCtfsEjJk
94,mPV4Z0kjEBA
95,clBRLMJ-XlY
96,zNGgs8k5X7g
97,W90WnXKhWrA
98,1dtzSRlfBDk
99,pUS3z5dABmY
100,Xck1GHa8D2o
101,PFNtS5E5VTo
102,qBq83xuwq4U
103,pNQvIPHsNT4
104,9ZJ2QLVZLMM
105,rUY2HTe04us
106,zPpBO5KvOYU
107,a3FUPmqyz74
108,YxgjC2AH0kk
109,ueYJZ53Jp2k
110,1YhQJSeLRho
111,aCF6JXLTOPE
112,nhhX8vieWbg
113,reT2Y9uXRw0
114,ZdEEAtokL-g
115,wMKvGAHJ-t4
116,cSt2zaL8q6Q
117,EPHP7uT5c-c
118,y6ZO5PH6kQo
119,F0A7cvLdodU
120,RVpFu31xxWo
121,3ZFWKk7Fv0E
122,68B_ZXrqX_8
123,cbxoDdKaJ1U
124,6d_jPUHmIZU
125,XJNp9_kfUwI
126,l-wtFtZn-QU
127,-kjFZkSFqRs
128,3yqLnwf2ORE
129,kUbFzG5dPa8
130,WTXFyFrUlOc
131,vNTXVsXdQVY
132,nOxZiav_pv8
133,x87688smkAA
134,aOuy6_n1Cg4
135,CQ3gpfOh2ZM
136,8a__MDi2Xsk
137,fA3RLEVZC4k
138,ggP_MVVOxAs
139,J1hWMz-Yg18
140,_y2CaMwwymE
141,jtZ2WLnpDwA
142,MO1V-iezJfs
143,VPVa0bqru10
144,O-Gvr96sO-0
145,1vYQjBJXFHc
146,PnDOAKPb7dI
147,12vpmRgVqQg
148,HQpjafVL0S4
149,9x9Miio1Nng
150,m91qruP3Uv8
151,SRHq7-gommU
152,Gwl3HdDkRdc
153,FCs7KnEXOno
154,4xLbmdqdbO4
155,-ehk1p9m6hA
156,wD6nU-OP77o
157,6cZnRXITFvs
158,_V0kXMHNkaw
159,WSDeydek6Zk
160,enNOZJSDFFs
161,7IKeVpeQk68
162,gXBMJBzWpZc
163,0rFktrHXPJ8
164,EUvPY2LdObc
165,hVtxt9aGvf8
166,uRgDcyO1piU
167,uxQlQqHjxCs
168,5s6Dbf5Fm2s
169,ofFF7HmwtrE
170,z3_KBPJfEQI
171,UmpAPT3j98Q
172,nzNC9mT0M28
173,YxDAsLCyR7M
174,f-bMRjImeDQ
175,kNnkMeQhKno
176,AFvLZbuN3no
177,ZDxrOGhhPWc
178,s_n_jWDQrVk
179,GQqCdJGwR-M
180,5FqwvAaxqC0
181,603q85GQZJ8
182,tAxPv4bBwxY
183,ozb_fBPGe4g
184,IVSyk0VT4LA
185,A-CjowEpeQI
186,rHsY6T_Igks
187,9QeSYFpx-4k
188,bw6OwWzimhk
189,0TokhGDiuC4
190,o7R7Cp0OugQ
191,WfvXBNPSYzU
192,WA9sLdUpYqU
193,J3V2rpwPmhk
194,OiC1rgCPmUQ
195,S4I8Gzb5Ol4
196,v7EBCttmA4Q
197,gCrRM4eA_pw
198,4tc7M12N6Y4
199,Dm9GcpqRHJA
200,ygJN6flMcqI
201,4Dsuus-SQns
202,gRNJJVvLtIU
203,giANQZeaOas
204,gVSwW54UmX4
205,fH2jD_AqbqY
206,PnEEOcuUUas
207,n268a2UQfS8
208,X4Q0EdG1JIo
209,tgyCuflMp_U
210,Fq5kab9snBw
211,NUbuvsK7si0
212,UqNyA07HTxw
213,YlEmKuMBwEA
214,XWLgD4t4nQY
215,44Vjs_5OepU
216,GKcSqhNN4HU
217,6ieS_k8HAjY
218,q_ioyghBFko
219,rXinMr_ij2c
220,2pwUoEiaOHU
221,bBkFDzrIkZQ
222,pzlnjkhksSM
223,W8amwBmutvA
224,rsG43iJozGg
225,DljJlhCwYvo
226,UyTxdDSJjKs
227,UUWmUd_X5sc
228,kJx1mxLkxbM
229,VoGEWrPj_kg
230,aBzWzme2xc8
231,p9Xgp3-_8cY
232,uRJkOrnFVx4
233,vDSy6k28mvo
234,iOlimzNSUNw
235,Pj1yIOa3uY4
236,-O43VXNSc-U
237,cdJlvD1HkAI
238,GcrC8voXob8
239,3MWYWBpPdvo
240,JfLuWKJbS7I
241,czm0HrV5nIU
242,ZQ3nvkt60Pc
243,4CkuRN9yy0k
244,OxFvMqEBmpQ
245,fNOSAenqsEQ
246,roYNh3ni5EE
247,BXGXV5N1eKE
248,XFPuWIUpRQE
249,qTxswM7lp10
250,g_Nxu-ZaJAc
251,atE1zCE23e8
252,9BL7IIYINKk
253,nYWpIRU8Lkw
254,4jCmOA76gY0
255,dMo630agUoM
256,XWn2oiytxCg
257,CNqDL3xindM
258,ARggXqpPacc
259,r1rz6DeeM2w
260,pOkV65zAAOI
261,oErlH0-tSZM
262,qQ38edZdkoo
263,dPgDGrHF4-Q
264,lWqgjDv4txw
265,O80y5qIm9u8
266,5Iaj1fSootU
267,kHWMZqV7gzs
268,zoiekiLUHqg
269,XOEWMCbcUJQ
270,IOVrStZPmrg
271,tOF4m_rtsbw
272,t2WkGcvn_78
273,KxqxDlylZF8
274,koVvCCjbibI
275,qlqcD6XGOl4
276,EmM5Tc63pX4
277,pEFXd9cqBnw
278,IHU2Y57kF_M
279,q-Xz9DHnMQs
280,bgG-2tO4K5I
281,9S8Tbf2Hzmg
282,2M1pWeK1djU
283,_Y83JoxHPCA
284,qGJziQ8L7UY
285,Qx7kfnN8624
286,I_qWND00Yik
287,26ilPpxSR5w
288,b-Wv4uuxhds
289,ZOfVWeanwNk
290,Hxy0AEktdaQ
291,iQc2iC5jJtc
292,7dfL_hCZlDY
293,H_b2rhudogs
294,dMBevlP_R_g
295,trhrBTl1noM
296,iviCwMZYxZE
297,2nh-UW_jgJk
298,b7BzGqWjKSA
299,KmdBo7--oqQ
300,sVAPhso-8bQ
301,uT3X3lWQkZ0
302,JQk8nrjKrrM
303,IkcBG_sr_qE
304,2sF1WlSLvYE
305,4BvrBiw6C3k
306,kQCZdCqMnl0
307,GAf7eq8TkDM
308,J_zO_edh3is
309,kGLJGfur9ds
310,QtXI5BE_zjw
311,-Esve1ZQATw
312,3odz9JwyFHA
313,02LS5cTspJs
314,Lfvv89hmpsA
315,gAOi_Ts5vYk
316,Svc22rM8Dj4
317,Jv128_IG8Tk
318,ImItN555OFU
319,jR-gYFNLVxs
320,sCkckx829mI
321,cLaPF2C-lIc
322,x7ATyLy_e7c
323,PHt3GRseyLs
324,3vUfLsa0hek
325,thgWzQd57p4
326,S07Jw63zp-o
327,XprcIf1jFgI
328,nm22kHccJ3s
329,ueAvn6HwKsE
330,Cmiome9UGkM
331,TqBEI4EUZ-Q
332,8KWr3pTxna0
333,ud73CtdEwsk
334,txzacC5VaiU
335,lDOAMxXGnLs
336,v6KuyzPnPZI
337,bCmKqIeZdC0
338,cwcgn1MMMOk
339,6HZnOFMxoAU
340,cJR25ndPunQ
341,C5_F28rQkKE
342,oxeH7t5k2Z4
343,KYV_qbr_O9M
344,L5Ct-5k5ELY
345,VtVeia2Wgas
346,_nziTDL9vck
347,eDbizobB4cY
348,aJFIllrYURc
349,WkA4aQm-h2s
350,GOQYdY6loqI
351,vDxbB-h5E8c
352,a7lR-J9CxhM
353,BtrXmISKGuk
354,8jnXaEZzo5M
355,dBcJ5hSLZ8k
356,sV6nPQ55ass
357,oqVxWEh6WVs
358,Lo7nSaiwJWk
359,zD4jfKz-Nko
360,C0jUGkJDoE0
361,7qJanr6zAtA
362,dBx6S6TuloI
363,CJazWGNYW14
364,csLW8Zd-hno
365,xLFZMoEvuLU
366,rTf6AqmRJCw
367,zaAzZP5_3fo
368,n8w1x79xWoI
369,hPyFWKs9jak
370,hE53KDFwGeo
371,k3RHkNVlrtw
372,HtH4irH2xJs
373,VXpR1YfmJqs
374,qBKyEoodeDM
375,7_doz33Cuts
376,uzgs7vTdlw4
377,n6AXXFkNZlc
378,dUEcS-MmgRY
379,7f0GovJVVhc
380,PahO1czqaqM
381,OepFWP0LNxk
382,JNdJD3VJMYI
383,Imlwc6AB5R8
384,iuuJnVnYF1E
385,ReTz2b9De5s
386,HK_cYAs7d9s
387,MjxV4Cg2xUo
388,wbWKZzBL2Y8
389,-Smq3bap7eU
390,oHCmYwGYStE
391,vvilT9fWp5Y
392,YgakJQLNRuo
393,awjbc_gYjX8
394,FhCAH7_hDLI
395,RW1s5PjvEVg
396,VVDTZzPkTPw
397,GB6LShOj4EE
398,femh7vUPvqo
399,INkjYWOo7So
400,PNWEMUixyzE
401,Y9NV9V1T49I
402,Qlj8qCgknGU
403,zYd2Xln-PVs
404,DLz6BXzi0h0
405,e8rdPR9tm3g
406,uMrFUwjk7gA
407,aMQrGDsK5-0
408,WBMPfAsravk
409,gzPhNmmnPGs
410,KEiy-_Wdtn8
